PM2_5,temp,humidity
114.55979999999998,22.0,91.1
113.353,22.0,91.2
117.1027,21.9,91.3
116.47775,21.9,91.3
118.02935,21.8,91.4
118.71895,21.8,91.6
105.83205,21.8,91.5
99.79805,21.8,91.5
94.79845,21.7,91.5
92.60035,21.7,91.5
85.91984999999998,21.6,91.4
80.27374999999999,21.6,91.4
75.68359999999998,21.6,91.3
74.7354,21.6,91.3
72.73124999999999,21.6,91.1
70.44694999999999,21.6,91.1
70.5547,21.6,91.2
70.33919999999999,21.6,91.2
67.77475,21.8,91.0
74.23975,22.0,90.6
63.89574999999999,22.2,90.0
60.10294999999999,22.4,89.6
65.10255,22.8,89.0
63.85264999999999,23.1,88.3
60.0814,23.4,87.6
64.28365,23.8,87.1
61.99934999999999,24.2,86.6
66.22314999999999,24.6,86.1
66.09385,25.0,85.2
67.08515,25.3,84.5
70.6409,25.6,83.4
89.41095,25.8,82.8
77.0197,25.9,82.3
80.4677,26.1,81.9
73.76564999999998,26.2,81.8
64.7362,26.3,81.8
68.85225,26.6,81.6
64.9517,26.9,80.5
65.01635,27.1,79.6
62.68894999999999,27.3,79.6
58.37895,27.3,78.7
58.98235,27.3,78.7
53.5302,27.4,78.2
54.737,27.6,77.9
53.5302,27.7,77.4
57.43074999999999,27.7,77.4
59.88745,27.7,77.4
58.20655,27.6,77.1
56.91355,27.6,76.8
52.30185,27.7,76.4
57.62469999999999,27.8,75.9
55.96535,27.9,75.7
61.95625,28.0,75.7
65.14564999999999,28.2,75.5
66.6326,28.3,75.3
69.26169999999999,28.4,75.3
67.23599999999999,28.5,74.9
60.9865,28.4,74.6
65.85679999999999,28.2,74.4
64.36985,28.0,74.9
68.59365,27.8,75.7
78.16185,27.5,76.7
77.8817,27.0,77.9
80.14444999999999,26.6,78.9
83.76484999999998,26.2,80.0
83.87259999999999,25.8,81.0
79.41175,25.6,81.7
78.3127,25.3,82.4
75.14484999999999,25.0,83.1
76.35164999999999,24.8,83.6
80.166,24.6,84.2
86.8034,24.4,84.7
92.75119999999998,24.2,85.1
90.5962,24.1,85.4
84.15274999999998,23.9,85.8
76.73955,23.8,86.2
72.47265,23.6,86.6
71.86925,23.5,86.9
75.10175,23.5,87.1
76.20079999999999,23.4,87.4
76.20079999999999,23.2,87.7
76.35164999999999,23.1,88.0
77.6231,23.0,88.2
80.83404999999999,22.9,88.5
83.16145,22.9,88.8
79.88584999999999,22.8,89.1
90.57465,22.8,89.2
99.66875,22.7,89.3
108.03015,22.7,89.4
105.3795,22.6,89.7
94.15195,22.6,89.7
89.69109999999999,22.6,89.7
87.4068,22.5,89.8
83.74329999999999,22.5,89.9
81.2435,22.5,89.9
75.23104999999998,22.5,89.9
69.7358,22.4,89.9
69.99439999999998,22.4,90.0
74.84314999999998,22.4,90.0
80.10135,22.4,90.1
77.0628,22.4,90.2
78.05409999999999,22.4,90.3
80.51079999999999,22.4,90.2
78.37734999999999,22.5,90.1
75.48965,22.4,90.1
72.42954999999999,22.4,90.2
74.51989999999999,22.4,90.3
76.2439,22.3,90.4
75.7267,22.3,90.6
75.36035,22.2,90.8
74.43369999999999,22.2,91.0
73.29154999999999,22.3,91.1
75.9422,22.3,91.2
75.9853,22.4,91.3
76.58869999999999,22.5,91.3
78.3127,22.6,91.5
76.48094999999999,22.7,91.5
73.87339999999999,22.9,91.3
71.78305,23.2,91.0
70.40384999999999,23.5,90.5
70.87795,23.8,89.9
70.51159999999999,24.1,89.3
68.2273,24.5,88.7
65.6413,24.9,87.7
65.83525,25.3,86.8
62.64585,25.6,86.1
55.92224999999999,26.1,84.6
53.29315,26.4,83.8
50.9442,26.5,82.9
49.8667,26.6,82.7
49.69429999999999,26.9,82.3
51.8924,27.2,81.6
43.46635,27.5,80.7
41.91475,27.7,79.4
46.18165,27.9,79.4
51.6769,27.9,79.1
47.841,27.8,79.1
43.33705,27.6,78.7
43.0138,27.5,78.7
41.39755,27.3,78.7
42.04405,27.1,79.0
44.06974999999999,26.9,79.2
66.0723,26.7,79.8
61.4175,26.7,79.6
47.0221,26.7,79.5
47.3238,26.7,79.8
43.81114999999999,26.7,80.0
40.27695,26.7,79.8
40.32005,26.8,79.8
41.00965,26.8,79.9
45.36275,26.8,79.5
43.29395,26.8,79.0
43.55255,26.8,79.3
53.8319,26.9,79.5
47.51775,27.1,78.9
49.34949999999999,26.9,78.7
46.09545,26.8,78.7
43.33705,26.6,78.7
44.2206,26.4,78.9
44.6516,26.3,79.5
50.23304999999999,26.1,80.0
57.0213,26.0,80.5
56.26704999999999,25.9,80.7
52.8406,25.7,81.2
49.50034999999999,25.6,81.7
50.9442,25.5,82.2
54.93094999999999,25.4,82.8
54.39219999999999,25.2,83.3
55.72829999999999,25.1,83.8
61.0727,25.0,84.2
58.9177,25.0,84.6
57.1506,24.9,85.0
55.10335,24.8,85.3
50.62094999999999,24.8,85.6
48.2289,24.8,85.7
49.0478,24.7,86.1
48.87539999999999,24.7,86.4
48.96159999999999,24.6,86.6
46.9359,24.6,86.8
46.50489999999999,24.6,86.9
62.90445,24.5,87.1
52.00014999999999,24.5,87.3
42.34575,24.5,87.5
43.98355,24.5,87.7
45.06105,24.5,87.8
48.27199999999999,24.5,88.0
52.53889999999999,24.5,88.1
54.49994999999999,24.4,88.1
53.42244999999999,24.4,88.4
52.99144999999999,24.3,88.6
50.7287,24.3,88.7
49.7374,24.2,88.8
50.96574999999999,24.2,89.1
53.29315,24.1,89.3
53.50864999999999,24.0,89.7
53.12075,24.0,89.9
56.56875,23.9,90.1
